Name,Info1,Info2,Discount %,Price,Rating,Release
Machinika: Museum,,,-100%,"R$ 0,00",87.68%,Mar 2021
ENDLESS™ Legend,,,-100%,"R$ 0,00",82.24%,Sep 2014
100% Orange Juice,,,-100%,"R$ 0,00",90.41%,Sep 2013
Killing Floor 2,,,-95%,"R$ 2,79",86.56%,Nov 2016
Wizard with a Gun,,,-50%,"R$ 29,99",78.02%,Oct 2023
Lil Gator Game,,,-50%,"R$ 29,99",95.00%,Dec 2022
Killing Floor,,,-90%,"R$ 3,49",93.37%,May 2009
The Forgotten City,,,-65%,"R$ 25,89",93.24%,Jul 2021
Poly Bridge 2,,,-80%,"R$ 5,79",92.26%,May 2020
Poly Bridge 3,,,-68%,"R$ 35,07",90.56%,May 2023
UNSIGHTED,,,-60%,"R$ 19,99",88.84%,Sep 2021
The Wild at Heart,,,-60%,"R$ 18,99",88.77%,May 2021
CaseCracker,,,-50%,"R$ 10,34",88.74%,Dec 2022
Broken Reality,,,-85%,"R$ 4,34",88.71%,Nov 2018
Paper Beast,,,-75%,"R$ 11,49",88.01%,Jul 2020
Blade of Darkness,,,-60%,"R$ 11,59",87.93%,Oct 2021
Root,,,-60%,"R$ 11,59",86.04%,Sep 2020
The House of Da Vinci 3,,,-50%,"R$ 29,99",86.03%,Dec 2022
Archvale,,,-50%,"R$ 22,49",85.36%,Dec 2021
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,,,-70%,"R$ 21,89",85.02%,Sep 2020
Foretales,,,-50%,"R$ 22,99",82.04%,Sep 2022
Trombone Champ,,,-60%,"R$ 11,59",94.85%,Sep 2022
Alba: A Wildlife Adventure,,,-75%,"R$ 13,12",94.21%,Dec 2020
Carto,,,-70%,"R$ 11,39",93.55%,Oct 2020
Unpacking,,,-50%,"R$ 29,99",90.91%,Nov 2021
One Step From Eden,,,-60%,"R$ 15,19",90.58%,Mar 2020
OTXO,,,-50%,"R$ 14,49",89.78%,Apr 2023
Poly Bridge,,,-90%,"R$ 2,06",89.26%,Jul 2016
Return to Monkey Island,,,-50%,"R$ 36,99",89.23%,Sep 2022
Wizard of Legend,,,-70%,"R$ 9,29",88.90%,May 2018
Minecraft Dungeons,,,-50%,"R$ 37,47",88.84%,Sep 2021
Forager,,,-65%,"R$ 13,29",88.52%,Apr 2019
Re: LieF ~ Shin'ainaru Anata e~,,,-58%,"R$ 27,71",88.45%,Feb 2021
Ring of Pain,,,-70%,"R$ 11,39",88.35%,Oct 2020
Assassin's Creed® Odyssey,,,-85%,"R$ 26,99",88.14%,Oct 2018
Stellaris,Top Seller,"2-year low: R$ 23,74",-70%,"R$ 43,19",86.77%,May 2016
Anarcute,,,-80%,"R$ 7,19",86.56%,Jul 2016
Old School Musical,,,-75%,"R$ 7,99",86.19%,Sep 2018
Ikenfell,,,-70%,"R$ 11,39",86.15%,Oct 2020
Hell Pie,,,-66%,"R$ 25,15",85.98%,Jul 2022
Another Lost Phone: Laura's Story,,,-72%,"R$ 2,23",85.83%,Sep 2017
Drug Dealer Simulator,,,-87%,"R$ 4,93",85.68%,Apr 2020
A Normal Lost Phone,,,-72%,"R$ 2,23",85.33%,Jan 2017
The Crackpet Show,,,-75%,"R$ 11,75",84.01%,Dec 2022
Dungeon Village,,,-63%,"R$ 6,87",82.83%,Mar 2022
Vampires' Melody 2,,,-50%,"R$ 6,89",82.52%,Sep 2023
Cyberpunk 2077,,,-50%,"R$ 99,95",81.52%,Dec 2020
A Hat in Time,Midweek Deal,"all-time low: R$ 27,99 at -50%",-50%,"R$ 44,49",96.07%,Oct 2017
Inscryption,,,-50%,"R$ 24,99",95.56%,Oct 2021
American Truck Simulator,Weekend Deal,"all-time low: R$ 7,74 at -94%",-75%,"R$ 15,49",95.51%,Feb 2016
One Finger Death Punch,Week Long Deal,"all-time low: R$ 1,69 at -80%",-78%,"R$ 1,86",95.38%,Mar 2014
Don't Starve,,,-75%,"R$ 5,17",95.30%,Apr 2013
Risk of Rain 2,,,-50%,"R$ 29,99",95.22%,Aug 2020
Sid Meier's Civilization® V,,,-75%,"R$ 11,24",94.97%,Sep 2010
Vampires' Melody,,,-80%,"R$ 2,75",94.12%,Oct 2020
Ultimate Chicken Horse,Midweek Deal,"all-time low: R$ 12,03 at -57%",-65%,"R$ 15,74",93.93%,Mar 2016
Valheim,,,-50%,"R$ 18,99",93.81%,Feb 2021
My Friend Pedro,,,-75%,"R$ 14,99",93.64%,Jun 2019
月影魅像-解放之羽-,,,-65%,"R$ 23,09",93.52%,Jul 2019
Monster Prom 2: Monster Camp,,,-66%,"R$ 8,46",93.40%,Oct 2020
One Finger Death Punch 2,,,-75%,"R$ 4,14",92.69%,Apr 2019
Marvel's Guardians of the Galaxy,,,-75%,"R$ 62,49",92.53%,Oct 2021
ISLANDERS,Daily Deal,current 2-year low,-65%,"R$ 5,94",92.38%,Apr 2019
Cities: Skylines,Weekend Deal,"2-year low: R$ 17,79",-70%,"R$ 32,39",92.25%,Mar 2015
Epistory - Typing Chronicles,Midweek Deal,"2-year low: R$ 12,49",-70%,"R$ 12,89",91.66%,Mar 2016
Risk of Rain (2013),,,-80%,"R$ 3,99",91.50%,Nov 2013
Torchlight II,,,-80%,"R$ 6,99",91.16%,Sep 2012
Death's Door,,,-75%,"R$ 14,99",91.15%,Jul 2021
Project Wingman,Midweek Deal,current 2-year low,-50%,"R$ 23,74",91.15%,Dec 2020
Thomas Was Alone,,,-80%,"R$ 3,39",91.00%,Nov 2012
The Messenger,,,-80%,"R$ 11,99",90.99%,Aug 2018
Dead Estate,,,-50%,"R$ 8,99",90.97%,Oct 2021
McPixel 3,,,-80%,"R$ 6,59",90.90%,Nov 2022
Spelunky 2,,,-50%,"R$ 18,99",90.83%,Sep 2020
Death Road to Canada,,,-75%,"R$ 6,99",90.30%,Jul 2016
Victoria II,Weekend Deal,"2-year low: R$ 6,99",-75%,"R$ 17,99",90.20%,Aug 2010
Crusader Kings III,Weekend Deal,"2-year low: R$ 67,49",-60%,"R$ 71,99",90.20%,Sep 2020
Hearts of Iron IV,Weekend Deal,"2-year low: R$ 23,74",-70%,"R$ 53,99",90.14%,Jun 2016
Evil Genius,,,-90%,"R$ 1,99",89.90%,Sep 2004
ΔV: Rings of Saturn,,,-50%,"R$ 10,34",89.42%,Jul 2023
Choice of Life: Middle Ages 2,,,-50%,"R$ 11,75",89.38%,Sep 2022
Sid Meier's Civilization® IV,,,-85%,"R$ 4,49",89.14%,Oct 2005
"Invisible, Inc.",,,-75%,"R$ 9,24",88.56%,May 2015
Slipways,,,-50%,"R$ 16,49",88.46%,Jun 2021
Knights of Honor,Weekend Deal,"2-year low: R$ 3,99",-75%,"R$ 8,99",88.38%,May 2005
Torchlight,,,-80%,"R$ 4,99",88.27%,Oct 2009
Lacuna – A Sci-Fi Noir Adventure,,,-80%,"R$ 6,19",88.22%,May 2021
Prison Architect,Weekend Deal,"2-year low: R$ 11,59",-80%,"R$ 21,59",88.19%,Oct 2015
Monaco: What's Yours Is Mine,Midweek Deal,"2-year low: R$ 3,69",-75%,"R$ 6,99",87.95%,Apr 2013
Curious Expedition,,,-80%,"R$ 5,59",87.79%,Sep 2016
Jupiter Hell,,,-60%,"R$ 18,99",87.59%,Aug 2021
Card Shark,,,-50%,"R$ 29,99",87.53%,Jun 2022
The Witcher: Enhanced Edition Director's Cut,,,-85%,"R$ 2,54",87.52%,Sep 2008
Splasher,Midweek Deal,"2-year low: R$ 7,19",-77%,"R$ 8,27",87.52%,Feb 2017
Marble It Up! Ultra,Daily Deal,"all-time low: R$ 28,49 at -25%",-60%,"R$ 35,59",87.39%,Nov 2018
Rollerdrome,,,-67%,"R$ 52,76",87.36%,Aug 2022
Life is Strange: True Colors,,,-70%,"R$ 89,97",87.31%,Sep 2021
Blue Estate The Game,Midweek Deal,"all-time low: R$ 6,49 at -75%",-65%,"R$ 9,09",87.28%,Apr 2015
Shadowrun: Dragonfall - Director's Cut,Weekend Deal,"2-year low: R$ 6,99",-75%,"R$ 13,49",86.84%,Sep 2014
DJMAX RESPECT V,,,-80%,"R$ 19,79",86.83%,Mar 2020
Majesty Gold HD,Weekend Deal,"2-year low: R$ 4,24",-75%,"R$ 8,99",86.83%,Mar 2001
Thronebreaker: The Witcher Tales,,,-75%,"R$ 13,99",86.65%,Nov 2018
Battlezone 98 Redux,,,-85%,"R$ 6,89",86.38%,Apr 2016
Shadowrun Returns,Weekend Deal,"2-year low: R$ 6,99",-75%,"R$ 13,49",86.28%,Jul 2013
Duskers,,,-50%,"R$ 18,49",86.27%,May 2016
Europa Universalis IV,Weekend Deal,"2-year low: R$ 23,74",-70%,"R$ 43,19",86.05%,Aug 2013
House of the Dying Sun,,,-70%,"R$ 11,09",85.89%,Nov 2016
TrymenT ―献给渴望改变的你― AlphA篇,,,-67%,"R$ 29,03",85.89%,Feb 2020
Curious Expedition 2,,,-65%,"R$ 13,29",85.86%,Jan 2021
Darkest Hour: A Hearts of Iron Game,Weekend Deal,"all-time low: R$ 3,39 at -80%",-80%,"R$ 7,19",85.68%,Apr 2011
Hob,,,-80%,"R$ 7,39",85.67%,Sep 2017
Astronarch,,,-70%,"R$ 8,69",85.60%,Jan 2021
Expeditions: Rome,,,-60%,"R$ 33,99",85.56%,Jan 2022
Magicka,Weekend Deal,"2-year low: R$ 4,24",-75%,"R$ 8,99",85.50%,Jan 2011
Lost Castle / 失落城堡,,,-60%,"R$ 7,99",85.44%,Sep 2016
Assassin's Creed® Origins,,,-85%,"R$ 26,99",85.30%,Oct 2017
Fury Unleashed,,,-85%,"R$ 8,99",85.14%,May 2020
JoJo's Bizarre Adventure: All-Star Battle R,,,-70%,"R$ 60,75",85.08%,Sep 2022
Tyranny,Weekend Deal,"all-time low: R$ 14,49 at -75%",-75%,"R$ 26,99",84.72%,Nov 2016
Tick Tock: A Tale for Two,Daily Deal,"2-year low: R$ 6,19",-60%,"R$ 7,60",84.24%,Mar 2019
ScourgeBringer,,,-75%,"R$ 9,99",84.23%,Oct 2020
SpellForce - Platinum Edition,Daily Deal,current 2-year low,-80%,"R$ 3,39",83.86%,Nov 2009
Shadowrun: Hong Kong - Extended Edition,Weekend Deal,"all-time low: R$ 7,39 at -80%",-75%,"R$ 17,99",83.77%,Aug 2015
Knights of Pen and Paper 2,Weekend Deal,"all-time low: R$ 3,99 at -75%",-75%,"R$ 7,24",83.77%,Oct 2015
SpellForce 3 Fallen God,,,-80%,"R$ 7,59",83.62%,Nov 2020
Void Bastards,,,-70%,"R$ 17,39",83.22%,May 2019
Age of Wonders Shadow Magic,Weekend Deal,"2-year low: R$ 4,24",-75%,"R$ 8,99",83.21%,—
Surviving Mars,Weekend Deal,"2-year low: R$ 14,49",-75%,"R$ 26,99",83.15%,Mar 2018
Crying Suns,,,-70%,"R$ 14,24",83.14%,Sep 2019
Sword of the Stars: Complete Collection,Weekend Deal,"all-time low: R$ 4,24 at -75%",-75%,"R$ 8,99",82.85%,Oct 2008
Warlock - Master of the Arcane,Weekend Deal,"2-year low: R$ 11,49",-75%,"R$ 22,49",82.81%,May 2012
Academia : School Simulator,Weekend Deal,"all-time low: R$ 17,99 at -40%",-50%,"R$ 35,99",82.20%,Sep 2017
Project Highrise,Daily Deal,"all-time low: R$ 7,39 at -80%",-84%,"R$ 9,59",81.98%,Sep 2016
BATTLETECH,Weekend Deal,"all-time low: R$ 18,87 at -75%",-75%,"R$ 35,99",81.95%,Apr 2018
Ice Lakes,Weekend Deal,"all-time low: R$ 6,99 at -75%",-75%,"R$ 13,49",81.80%,Apr 2016
Teleglitch: Die More Edition,Weekend Deal,"all-time low: R$ 4,39 at -80%",-75%,"R$ 11,74",81.79%,Jul 2013
Watch_Dogs® 2,Midweek Deal,current 2-year low,-85%,"R$ 22,49",81.65%,Nov 2016
Hearts of Iron 2 Complete,Weekend Deal,"2-year low: R$ 6,24",-75%,"R$ 13,49",81.41%,Jan 2006
Fae Tactics,,,-70%,"R$ 11,39",81.35%,Jul 2020
King Arthur: Knight's Tale,,,-60%,"R$ 48,79",81.28%,Apr 2022
SpellForce 3 Soul Harvest,,,-80%,"R$ 7,59",81.26%,May 2019
Temtem,Midweek Deal,"all-time low: R$ 39,14 at -71%",-60%,"R$ 53,99",80.77%,Sep 2022
Magicka 2,Weekend Deal,"all-time low: R$ 6,99 at -75%",-75%,"R$ 13,49",80.66%,May 2015
Mechanic Escape,,,-80%,"R$ 2,49",80.64%,Apr 2014
Across the Obelisk,Weekend Deal,"2-year low: R$ 30,39",-50%,"R$ 35,99",80.60%,Apr 2021
Zombie Party,Midweek Deal,"all-time low: R$ 3,99 at -80%",-80%,"R$ 4,13",80.37%,Jun 2016
Europa Universalis III Complete,Weekend Deal,"2-year low: R$ 6,24",-70%,"R$ 16,19",80.20%,Jan 2007
Knights of Pen and Paper +1 Edition,Weekend Deal,"all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",79.98%,Jun 2013
Revita,,,-50%,"R$ 19,99",79.67%,—
Flynn: Son of Crimson,,,-60%,"R$ 23,99",79.57%,Sep 2021
Wildfire,,,-60%,"R$ 11,59",78.76%,May 2020
Age of Wonders III,Weekend Deal,"all-time low: R$ 13,99 at -75%",-75%,"R$ 26,99",78.62%,Mar 2014
Age of Wonders: Planetfall,Weekend Deal,"all-time low: R$ 23,49 at -75%",-66%,"R$ 36,71",78.06%,Aug 2019
Finding Teddy,,,-80%,"R$ 2,79",77.73%,Dec 2013
Staxel,,,-75%,"R$ 9,24",77.24%,Apr 2019
HOT WHEELS UNLEASHED™,Daily Deal,"all-time low: R$ 16,49 at -85%",-85%,"R$ 29,92",76.39%,Sep 2021
Hotel Renovator,,,-50%,"R$ 44,95",76.27%,Mar 2023
Hellslave,,,-75%,"R$ 11,49",75.97%,May 2022
Aegis Defenders,Midweek Deal,current 2-year low,-75%,"R$ 9,24",75.62%,Feb 2018
Watch_Dogs™,Midweek Deal,"2-year low: R$ 13,49",-85%,"R$ 14,24",75.45%,May 2014
Hearts of Iron III,Weekend Deal,"2-year low: R$ 4,24",-75%,"R$ 8,99",75.10%,Aug 2009
Nanotale - Typing Chronicles,,,-60%,"R$ 18,39",74.95%,Mar 2021
Age of Wonders,Weekend Deal,"all-time low: R$ 1,99 at -80%",-75%,"R$ 5,49",74.90%,—
SpellForce 3 Reforced,,,-80%,"R$ 15,09",74.60%,Dec 2017
Cities in Motion,Weekend Deal,"all-time low: R$ 8,74 at -75%",-50%,"R$ 35,99",73.51%,Feb 2011
Vampire: The Masquerade - Shadows of New York,,,-80%,"R$ 5,37",73.29%,Sep 2020
Popup Dungeon,,,-60%,"R$ 18,99",72.88%,Aug 2020
Steel Division: Normandy 44,Weekend Deal,"all-time low: R$ 18,24 at -75%",-66%,"R$ 24,47",72.75%,May 2017
NeuroVoider,Midweek Deal,"all-time low: R$ 6,79 at -80%",-75%,"R$ 8,49",72.57%,Aug 2016
SpellForce 2 - Anniversary Edition,Daily Deal,current 2-year low,-80%,"R$ 4,99",72.47%,Oct 2009
Internet Cafe Simulator 2,Daily Deal,"all-time low: R$ 18,99 at -50%",-60%,"R$ 23,99",72.26%,Jan 2022
DRIFT CE,Daily Deal,"all-time low: R$ 29,70 at -70%",-50%,"R$ 49,50",71.15%,Jun 2021
Vampire: The Masquerade - Coteries of New York,,,-90%,"R$ 3,79",70.79%,Dec 2019
Surviving the Aftermath,Weekend Deal,"all-time low: R$ 17,39 at -70%",-70%,"R$ 32,39",69.39%,Nov 2021
Wurm Unlimited,,,-75%,"R$ 27,49",69.34%,Oct 2015
Belladonna,Midweek Deal,"all-time low: R$ 1,39 at -90%",-75%,"R$ 3,62",69.16%,Feb 2015
Majesty 2,Weekend Deal,"all-time low: R$ 4,24 at -75%",-75%,"R$ 8,99",67.49%,Sep 2009
Warlock 2: The Exiled,Weekend Deal,"all-time low: R$ 7,39 at -80%",-75%,"R$ 17,99",67.18%,Apr 2014
King Arthur - The Role-playing Wargame,Weekend Deal,"all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",66.84%,Nov 2009
Cafe Owner Simulator,,,-60%,"R$ 23,19",66.48%,Dec 2022
Souldiers,,,-65%,"R$ 16,09",65.57%,Jun 2022
WRC 5 FIA World Rally Championship,,,-90%,"R$ 2,06",65.42%,Oct 2015
Victoria 3,,,-76%,"R$ 43,19",65.08%,Oct 2022
NECROPOLIS: BRUTAL EDITION,Weekend Deal,"2-year low: R$ 11,19",-75%,"R$ 26,99",63.76%,—
A Game of Dwarves,Weekend Deal,"all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",61.53%,Oct 2012
Euro Truck Simulator 2,,,-75%,"R$ 15,49",96.61%,Oct 2012
Slay the Spire,,,-66%,"R$ 25,49",96.55%,Jan 2019
Bloons TD 6,,,-65%,"R$ 9,76",96.30%,Dec 2018
Dead Cells,,,-50%,"R$ 23,74",95.88%,Aug 2018
Hotline Miami,,,-80%,"R$ 6,59",95.77%,Oct 2012
The Wolf Among Us,Week Long Deal,"2-year low: R$ 8,69",-50%,"R$ 25,00",95.71%,Oct 2013
The Witcher® 3: Wild Hunt,,,-75%,"R$ 32,49",95.33%,May 2015
Oxygen Not Included,,,-66%,"R$ 15,63",95.33%,Jul 2019
Broforce,,,-80%,"R$ 9,39",95.26%,Oct 2015
Keep Talking and Nobody Explodes,,,-60%,"R$ 18,79",95.10%,Oct 2015
INSIDE,,,-90%,"R$ 7,40",95.09%,Jul 2016
Tales of the Black Forest,,,-70%,"R$ 4,13",95.06%,Sep 2019
Stronghold Crusader HD,,,-70%,"R$ 5,09",95.06%,Jul 2002
Tomb Raider,,,-80%,"R$ 12,49",95.01%,Mar 2013
GRIS,,,-80%,"R$ 9,39",94.94%,Dec 2018
Milk inside a bag of milk inside a bag of milk,Week Long Deal,"all-time low: R$ 1,04 at -70%",-50%,"R$ 1,74",94.76%,Aug 2020
Mirror,,,-60%,"R$ 2,79",94.56%,Apr 2018
Enter the Gungeon,,,-70%,"R$ 14,09",94.24%,Apr 2016
Supreme Commander: Forged Alliance,,,-80%,"R$ 6,79",94.12%,Sep 2011
FTL: Faster Than Light,,,-75%,"R$ 5,99",94.03%,Sep 2012
Fox Hime Zero,,,-70%,"R$ 2,09",93.84%,May 2018
Streets of Rogue,,,-75%,"R$ 14,99",93.81%,Jul 2019
Crypt of the NecroDancer,,,-80%,"R$ 9,39",93.71%,Apr 2015
FlatOut 2™,,,-80%,"R$ 13,99",93.70%,Aug 2006
shapez,,,-78%,"R$ 10,83",93.68%,Jun 2020
Downwell,,,-67%,"R$ 3,46",93.65%,Oct 2015
Paint the Town Red,,,-50%,"R$ 29,99",93.63%,Jul 2021
Metal: Hellsinger,Week Long Deal,"all-time low: R$ 26,09 at -67%",-60%,"R$ 31,63",93.61%,Sep 2022
Superflight,,,-50%,"R$ 5,24",93.59%,Nov 2017
The Talos Principle,,,-85%,"R$ 13,34",93.47%,Dec 2014
TY the Tasmanian Tiger,Week Long Deal,"all-time low: R$ 9,79 at -65%",-50%,"R$ 13,99",93.47%,Dec 2016
Bit Blaster XL,Week Long Deal,"all-time low: R$ 1,09 at -50%",-50%,"R$ 1,74",93.15%,Jan 2016
Orcs Must Die!,,,-75%,"R$ 5,17",93.14%,Oct 2011
Retrowave,,,-50%,"R$ 5,24",93.10%,May 2022
ROUNDS,,,-50%,"R$ 8,99",93.05%,Apr 2021
AudioSurf,,,-75%,"R$ 8,24",93.00%,Feb 2008
Fluffy Store,,,-70%,"R$ 2,09",92.85%,Aug 2019
Star of Providence,,,-50%,"R$ 23,49",92.73%,Jun 2017
Rise of the Tomb Raider™,,,-80%,"R$ 24,99",92.70%,Feb 2016
LYNE,,,-60%,"R$ 4,19",92.69%,Mar 2014
Pikuniku,,,-80%,"R$ 8,39",92.60%,Jan 2019
Stronghold HD (2012),Week Long Deal,current 2-year low,-70%,"R$ 3,59",92.59%,Oct 2001
Stick Fight: The Game,,,-60%,"R$ 6,00",92.38%,Sep 2017
DR LIVESEY ROM AND DEATH EDITION,,,-50%,"R$ 1,74",92.38%,Feb 2023
Hotline Miami 2: Wrong Number,,,-85%,"R$ 7,04",92.31%,Mar 2015
CARRION,,,-70%,"R$ 17,99",92.31%,Jul 2020
Mount Your Friends,Week Long Deal,"2-year low: R$ 3,67",-65%,"R$ 5,94",92.27%,Jul 2014
Tales of Maj'Eyal,,,-50%,"R$ 6,99",92.17%,Dec 2012
Long Live The Queen,Week Long Deal,"2-year low: R$ 5,99",-65%,"R$ 9,09",91.88%,Nov 2013
Descenders,,,-70%,"R$ 14,24",91.86%,May 2019
Max Payne 2: The Fall of Max Payne,,,-65%,"R$ 5,24",91.79%,Oct 2003
Sleeping Dogs: Definitive Edition,,,-85%,"R$ 8,39",91.68%,Oct 2014
Chronicon,,,-60%,"R$ 17,79",91.67%,Aug 2020
Skul: The Hero Slayer,,,-50%,"R$ 29,99",91.63%,Jan 2021
The Red Strings Club,,,-75%,"R$ 11,74",91.57%,Jan 2018
Heat Signature,,,-60%,"R$ 11,19",91.57%,Sep 2017
Wingspan,,,-50%,"R$ 29,99",91.45%,Sep 2020
IRMÃO Grande & Brasileiro 2,,,-65%,"R$ 6,99",91.40%,Oct 2021
Loop Hero,,,-67%,"R$ 15,50",91.32%,Mar 2021
LIMBO,,,-90%,"R$ 3,70",91.29%,Aug 2011
Gato Roboto,,,-75%,"R$ 6,62",91.19%,May 2019
GORN,,,-50%,"R$ 29,99",91.16%,Jul 2019
Orcs Must Die! 2,,,-75%,"R$ 7,24",91.06%,Jul 2012
HUNTDOWN,,,-80%,"R$ 11,99",90.93%,May 2021
Sins of a Solar Empire®: Rebellion,,,-70%,"R$ 32,39",90.85%,Jun 2012
Lords of the Realm II,,,-80%,"R$ 2,09",90.84%,Oct 1996
SEUM: Speedrunners from Hell,,,-60%,"R$ 17,99",90.83%,Jul 2016
Kiwi Clicker - Juiced Up,,,-50%,"R$ 8,49",90.78%,Jul 2022
Super Amazing Wagon Adventure,,,-66%,"R$ 3,56",90.72%,Oct 2013
Legend of Grimrock,Week Long Deal,"2-year low: R$ 6,99",-80%,"R$ 9,39",90.67%,Apr 2012
Brigador: Up-Armored Edition,,,-64%,"R$ 16,55",90.56%,Jun 2016
APE OUT,,,-75%,"R$ 11,74",90.55%,Feb 2019
Rogue Legacy,,,-80%,"R$ 9,39",90.53%,Jun 2013
Race The Sun,,,-75%,"R$ 8,24",90.50%,Dec 2013
One Way Heroics,,,-69%,"R$ 1,85",90.50%,Feb 2014
Darkest Dungeon®,,,-85%,"R$ 11,09",90.42%,Jan 2016
